# key, cn, en,
menu.search.placeholder,"搜索：员工、文件、照片等","Search for people, file, photos..."
menu.fullscreen,全屏,Fullscreen
menu.fullscreen.exit,退出全屏,Exit Fullscreen
menu.clear.local.storage,清理本地缓存,Clear Local Storage
menu.lang,语言,Language
menu.main,主导航,Main Navigation
menu.dashboard,仪表盘,Dashboard
menu.dashboard.v1,默认页,Default
menu.dashboard.analysis,分析页,Analysis
menu.dashboard.monitor,监控页,Monitor
menu.dashboard.workplace,工作台,Workplace
menu.shortcut,快捷菜单,Shortcut
menu.widgets,小部件,Widgets
menu.alain,Alain,Alain
menu.style,样式,Style
menu.style.typography,字体排印,Typography
menu.style.gridmasonry,瀑布流,Grid Masonry
menu.style.colors,色彩,Colors
menu.delon,Delon 类库,Delon Lib
menu.delon.form,动态表单,Dynamic Form
menu.delon.table,简易表格,Simple table
menu.delon.util,工具集,Util
menu.delon.print,打印,Print
menu.delon.guard,路由守卫,Route Guard
menu.delon.cache,字典缓存,Cache
menu.delon.qr,二维码,QR
menu.delon.acl,基于角色访问控制,ACL
menu.delon.downfile,下载文件,Download File
menu.delon.xlsx,Excel操作,Excel
menu.delon.zip,本地解压缩,Zip
menu.pro,Antd Pro,Antd Pro
menu.form,表单页,Form
menu.form.basicform,基础表单,Basic Form
menu.form.stepform,分步表单,Step Form
menu.form.stepform.info,分步表单（填写转账信息）,Step Form(write transfer information)
menu.form.stepform.confirm,分步表单（确认转账信息）,Step Form(confirm transfer information)
menu.form.stepform.result,分步表单（完成）,Step Form(finished)
menu.form.advancedform,高级表单,Advanced Form
menu.list,列表页,List
menu.list.searchtable,查询表格,Search Table
menu.list.basiclist,标准列表,Basic List
menu.list.cardlist,卡片列表,Card List
menu.list.searchlist,搜索列表,Search List
menu.list.searchlist.articles,搜索列表（文章）,Search List(articles)
menu.list.searchlist.projects,搜索列表（项目）,Search List(projects)
menu.list.searchlist.applications,搜索列表（应用）,Search List(applications)
menu.profile,详情页,Profile
menu.profile.basic,基础详情页,Basic Profile
menu.profile.advanced,高级详情页,Advanced Profile
menu.result,结果页,Result
menu.result.success,成功页,Success
menu.result.fail,失败页,Fail
menu.exception,异常页,Exception
menu.exception.not-permission,403,403
menu.exception.not-find,404,404
menu.exception.server-error,500,500
menu.account,个人页,Account
menu.account.center,个人中心,Account Center
menu.account.settings,个人设置,Account Settings
menu.account.trigger,触发错误,Trigger Error
menu.account.logout,退出登录,Logout
menu.more,更多,More
menu.report,报表,Report
menu.report.relation,全屏关系图,Relation Map
menu.extras,扩展,Extra
menu.extras.helpcenter,帮助中心,Help Center
menu.extras.settings,设置,Settings
menu.extras.poi,门店,Poi
app.analysis.test,工专路 {{no}} 号店,Gongzhuan No.{{no}} shop
app.analysis.introduce,指标说明,Introduce
app.analysis.total-sales,总销售额,Total Sales
app.analysis.day-sales,日销售额,Day Sales
app.analysis.visits,访问量,Visits
app.analysis.visits-trend,访问量趋势,Visits Trend
app.analysis.visits-ranking,门店访问量排名,Visits Ranking
app.analysis.day-visits,日访问量,Day Visits
app.analysis.week,周同比,Week Ratio
app.analysis.day,日同比,Day Ratio
app.analysis.payments,支付笔数,Payments
app.analysis.conversion-rate,转化率,Conversion Rate
app.analysis.operational-effect,运营活动效果,Operational Effect
app.analysis.sales-trend,销售趋势,Stores Sales Trend
app.analysis.sales-ranking,门店销售额排名,Sales Ranking
app.analysis.all-year,全年,All Year
app.analysis.all-month,本月,All Month
app.analysis.all-week,本周,All Week
app.analysis.all-day,今日,All day
app.analysis.search-users,搜索用户数,Search Users
app.analysis.per-capita-search,人均搜索次数,Per Capita Search
app.analysis.online-top-search,线上热门搜索,Online Top Search
app.analysis.the-proportion-of-sales,销售额类别占比,The Proportion Of Sales
app.analysis.channel.all,全部渠道,ALL
app.analysis.channel.online,线上,Online
